bet_id,player_id,event_id,market,stake,status
bet-01,player-01,match-1,match_winner,5.00,OPEN
bet-02,player-02,match-1,over_2_5,8.00,OPEN
bet-03,player-03,match-1,match_winner,12.00,OPEN
bet-04,player-04,match-1,both_teams_score,20.00,OPEN
bet-05,player-05,match-1,correct_score,30.00,OPEN
bet-06,player-06,match-1,match_winner,45.00,OPEN
bet-07,player-07,match-1,over_2_5,55.00,OPEN
bet-08,player-08,match-1,match_winner,60.00,OPEN
bet-09,player-09,match-2,match_winner,9.00,OPEN
bet-10,player-10,match-2,over_2_5,15.00,OPEN
bet-11,player-11,match-2,both_teams_score,26.00,OPEN
bet-12,player-12,match-2,match_winner,40.00,OPEN
bet-13,player-13,match-2,correct_score,51.00,OPEN
bet-14,player-01,match-2,match_winner,70.00,OPEN
bet-15,player-14,match-3,match_winner,7.50,OPEN
bet-16,player-15,match-3,over_2_5,11.00,OPEN
bet-17,player-16,match-3,match_winner,24.00,OPEN
bet-18,player-17,match-3,both_teams_score,49.00,OPEN
bet-19,player-02,match-3,correct_score,80.00,OPEN
bet-20,player-18,match-4,match_winner,4.00,OPEN
bet-21,player-19,match-4,over_2_5,18.00,OPEN
bet-22,player-20,match-4,match_winner,25.00,OPEN
bet-23,player-03,match-4,both_teams_score,50.00,OPEN
bet-24,player-04,match-4,correct_score,95.00,OPEN
