event_id,minute,event_type,home_score,away_score,ts
match-1,12,GOAL,1,0,1755000060000
match-2,23,GOAL,1,0,1755000120000
match-5,27,GOAL,1,0,1755000180000
match-1,34,RED_CARD,1,0,1755000240000
match-3,41,GOAL,0,1,1755000300000
match-1,45,HALF_TIME,1,0,1755000360000
match-4,52,GOAL,1,0,1755000420000
match-2,58,RED_CARD,1,0,1755000480000
match-5,63,GOAL,2,0,1755000540000
match-3,77,GOAL,1,1,1755000600000
match-1,58,GOAL,2,0,1755000660000
match-4,63,RED_CARD,1,0,1755000720000
match-2,45,HALF_TIME,1,0,1755000780000
match-3,12,GOAL,2,1,1755000840000
match-1,71,GOAL,3,0,1755000900000
match-5,45,HALF_TIME,2,0,1755000960000
match-4,80,GOAL,2,0,1755001020000
match-2,67,GOAL,2,0,1755001080000
match-3,45,HALF_TIME,2,1,1755001140000
match-1,88,RED_CARD,3,0,1755001200000
match-4,45,HALF_TIME,2,0,1755001260000
match-2,74,GOAL,3,0,1755001320000
match-3,84,GOAL,3,1,1755001380000
match-5,79,RED_CARD,2,0,1755001440000
match-1,90,GOAL,4,0,1755001500000
match-4,88,GOAL,3,0,1755001560000
match-2,90,GOAL,4,0,1755001620000
match-3,90,GOAL,4,1,1755001680000
match-5,90,GOAL,3,0,1755001740000
match-4,90,GOAL,4,0,1755001800000
